PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
Brittney Sykes,V,190000,V,190000,V,195000,UFA,,,,,Washington Mystics

Natasha Cloud,V,190000,UFA,,,,,,,,,Washington Mystics

Myisha Hines-Allen,V,175100,V,180200,UFA,,,,,,,Washington Mystics

Ariel Atkins,V,175000,UFA,,,,,,,,,Washington Mystics

Shatori Walker-Kimbrough,V,95000,U,97850,UFA,,,,,,,Washington Mystics

Tianna Hawkins,TC,74305,UFA,,,,,,,,,Washington Mystics

Amanda Zahui B.,TC,74305,UFA,,,,,,,,,Washington Mystics

Shakira Austin,U,73584,U,80943,OPT,91981,RFA,,,,,Washington Mystics

Li Meng,TC,62285,Reserved,,,,,,,,,Washington Mystics

Alisia Jenkins,TC,62285,RFA,,,,,,,,,Washington Mystics

Jazmine Jones,TC,62285,RFA,,,,,,,,,Washington Mystics

Stephanie Jones,TC,62285,Reserved,,,,,,,,,Washington Mystics

Evina Westbrook,TC,62285,Reserved,,,,,,,,,Washington Mystics

Rui Machida,UFA,,,,,,,,,,,Washington Mystics

Jazmine Jones,Reserved,,,,,,,,,,,Washington Mystics

Klara Lundquist,SuspCE,,,,,,,,,,,Washington Mystics

Cap Room,,287466,,914207,,1220119,,1552300,,1598800,,Washington Mystics

